scraped_at,competitor,product_name,price,stock_status,url,error
2026-04-03 12:20:05,Hobby Lords,Space Marines: Gladiator,,not_carried,,
2026-04-03 12:20:05,Hobby Lords,Space Marines: Primaris Intercessors,120.00,in_stock,https://www.hobbylords.co.nz/products/single/space-marines-intercessors,
2026-04-03 12:20:14,Hobby Lords,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:20:14,Hobby Lords,Space Marines Primaris Reivers,120.00,in_stock,https://www.hobbylords.co.nz/products/single/space-marines-primaris-reivers,
2026-04-03 12:20:22,Hobby Lords,Sylvaneth: Tree-Revenants,93.00,in_stock,https://www.hobbylords.co.nz/products/single/sylvaneth-tree-revenants,
2026-04-03 12:20:31,Hobby Lords,Warhammer 40000: Introductory Set,100.00,in_stock,https://www.hobbylords.co.nz/products/single/warhammer-40000-introductory-set,
2026-04-03 12:20:41,Hobby Master,Age Of Sigmar: Introductory Set,97.00,in_stock,https://hobbymaster.co.nz/products/product/43416,
2026-04-03 12:20:43,Hobby Master,Death Guard: Plague Marine Champion,54.00,in_stock,https://hobbymaster.co.nz/products/product/40411,
2026-04-03 12:20:47,Hobby Master,Genestealer Cults: Biophagus,54.00,in_stock,https://hobbymaster.co.nz/products/product/31527,
2026-04-03 12:20:50,Hobby Master,Orruk Warclans: Ardboy Big Boss,75.00,in_stock,https://hobbymaster.co.nz/products/product/41743,
2026-04-03 12:20:53,Hobby Master,Orruk Warclans: Orruk Brutes,110.00,in_stock,https://hobbymaster.co.nz/products/product/37181,
2026-04-03 12:20:57,Hobby Master,Space Marines: Gladiator,174.00,in_stock,https://hobbymaster.co.nz/products/product/36228,
2026-04-03 12:21:01,Hobby Master,Space Marines: Primaris Intercessors,118.00,in_stock,https://hobbymaster.co.nz/products/product/28412,
2026-04-03 12:21:03,Hobby Master,Space Marines Primaris Librarian,75.00,in_stock,https://hobbymaster.co.nz/products/product/28221,
2026-04-03 12:21:07,Hobby Master,Space Marines Primaris Reivers,118.00,in_stock,https://hobbymaster.co.nz/products/product/28086,
2026-04-03 12:21:10,Hobby Master,Sylvaneth: Tree-Revenants,92.00,in_stock,https://hobbymaster.co.nz/products/product/39777,
2026-04-03 12:21:12,Hobby Master,Warhammer 40000: Introductory Set,93.00,in_stock,https://hobbymaster.co.nz/products/product/41316,
2026-04-03 12:21:16,Iron Knight,Age Of Sigmar: Introductory Set,107.00,out_of_stock,https://ironknightgaming.co.nz/products/warhammer-age-of-sigmar-introductory-set,
2026-04-03 12:21:19,Iron Knight,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:21:19,Iron Knight,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:21:19,Iron Knight,Orruk Warclans: Ardboy Big Boss,,not_carried,,
2026-04-03 12:21:19,Iron Knight,Orruk Warclans: Orruk Brutes,121.00,out_of_stock,https://ironknightgaming.co.nz/products/orruk-warclans-orruk-brutes,
2026-04-03 12:21:22,Iron Knight,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:21:22,Iron Knight,Space Marines Primaris Reivers,,not_carried,,
2026-04-03 12:21:22,Iron Knight,Space Marines: Gladiator,185.00,out_of_stock,https://ironknightgaming.co.nz/products/space-marines-gladiator,
2026-04-03 12:21:24,Iron Knight,Space Marines: Primaris Intercessors,130.00,out_of_stock,https://ironknightgaming.co.nz/products/space-marines-primaris-intercessors,
2026-04-03 12:21:27,Iron Knight,Sylvaneth: Tree-Revenants,,not_carried,,
2026-04-03 12:21:27,Iron Knight,Warhammer 40000: Introductory Set,102.00,out_of_stock,https://ironknightgaming.co.nz/products/warhammer-40000-introductory-set,
2026-04-03 12:21:30,Mighty Ape,Age Of Sigmar: Introductory Set,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-warhammer-age-of-sigmar-introductory-set-39006494/,
2026-04-03 12:21:37,Mighty Ape,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:21:37,Mighty Ape,Genestealer Cults: Biophagus,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-warhammer-40000-genestealer-cults-biophagus-29189815/,
2026-04-03 12:21:46,Mighty Ape,Orruk Warclans: Ardboy Big Boss,,not_carried,,
2026-04-03 12:21:46,Mighty Ape,Orruk Warclans: Orruk Brutes,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-ironjawz-orruk-brutes-25217197/,
2026-04-03 12:21:54,Mighty Ape,Space Marines: Gladiator,,unknown,https://www.mightyape.co.nz/product/warhammer-40000-space-marine-gladiator/34016507,
2026-04-03 12:22:03,Mighty Ape,Space Marines: Primaris Intercessors,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-warhammer-40000-space-marine-primaris-intercessors-26859092/,
2026-04-03 12:22:10,Mighty Ape,Space Marines Primaris Librarian,,unknown,https://www.mightyape.co.nz/product/warhammer-40000-space-marine-primaris-librarian/26853441,
2026-04-03 12:22:18,Mighty Ape,Space Marines Primaris Reivers,,unknown,https://www.mightyape.co.nz/product/warhammer-40000-space-marine-primaris-reivers/26856277,
2026-04-03 12:22:25,Mighty Ape,Sylvaneth: Tree-Revenants,,unknown,https://www.mightyape.co.nz/product/sylvaneth-tree-revenants/25522630,
2026-04-03 12:22:33,Mighty Ape,Warhammer 40000: Introductory Set,,unknown,https://www.mightyape.co.nz/mn/buy/mighty-ape-warhammer-40000-introductory-set-37875024/,
2026-04-03 12:22:42,Nova Games,Age Of Sigmar: Introductory Set,96.50,out_of_stock,https://novagames.co.nz/products/age-of-sigmar-introductory-set,
2026-04-03 12:22:43,Nova Games,Death Guard: Plague Marine Champion,,not_carried,,
2026-04-03 12:22:43,Nova Games,Orruk Warclans: Ardboy Big Boss,71.00,out_of_stock,https://novagames.co.nz/products/ardboy-big-boss,
2026-04-03 12:22:47,Nova Games,Orruk Warclans: Orruk Brutes,109.00,out_of_stock,https://novagames.co.nz/products/orruk-brutes,
2026-04-03 12:22:50,Nova Games,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:22:50,Nova Games,Space Marines Primaris Reivers,,not_carried,,
2026-04-03 12:22:50,Nova Games,Space Marines: Gladiator,,not_carried,,
2026-04-03 12:22:50,Nova Games,Space Marines: Primaris Intercessors,117.00,out_of_stock,https://novagames.co.nz/products/intercessors,
2026-04-03 12:22:54,Nova Games,Sylvaneth: Tree-Revenants,,not_carried,,
2026-04-03 12:22:54,Nova Games,Warhammer 40000: Introductory Set,98.50,out_of_stock,https://novagames.co.nz/products/warhammer-40-000-introductory-set,
2026-04-03 12:22:56,Nova Games,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:22:56,Vagabond,Age Of Sigmar: Introductory Set,96.00,out_of_stock,https://vagabond.co.nz/warhammer-age-of-sigmar-introductory-set-2024/,
2026-04-03 12:22:59,Vagabond,Death Guard: Plague Marine Champion,51.00,in_stock,https://vagabond.co.nz/death-guard-plague-marine-champion/,
2026-04-03 12:23:02,Vagabond,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:23:02,Vagabond,Orruk Warclans: Ardboy Big Boss,66.50,in_stock,https://vagabond.co.nz/orruk-warclans-ardboy-big-boss,
2026-04-03 12:23:05,Vagabond,Orruk Warclans: Orruk Brutes,94.50,in_stock,https://vagabond.co.nz/ironjawz-orruk-brutes/,
2026-04-03 12:23:09,Vagabond,Space Marines: Gladiator,166.50,out_of_stock,https://vagabond.co.nz/space-marines-gladiator/,
2026-04-03 12:23:12,Vagabond,Space Marines: Primaris Intercessors,117.00,out_of_stock,https://vagabond.co.nz/space-marines-primaris-intercessors/,
2026-04-03 12:23:15,Vagabond,Space Marines Primaris Librarian,,not_carried,,
2026-04-03 12:23:15,Vagabond,Space Marines Primaris Reivers,117.00,in_stock,https://vagabond.co.nz/space-marines-primaris-reivers/,
2026-04-03 12:23:19,Vagabond,Sylvaneth: Tree-Revenants,,not_carried,,
2026-04-03 12:23:19,Vagabond,Warhammer 40000: Introductory Set,98.00,in_stock,https://vagabond.co.nz/warhammer-40-000-introductory-set/,
2026-04-03 12:28:32,Bea DnD,Age Of Sigmar: Introductory Set,90.00,out_of_stock,https://www.beadndgames.co.nz/products/warhammer-age-of-sigmar-introductory-set,
2026-04-03 12:28:35,Bea DnD,Death Guard: Plague Marine Champion,53.00,out_of_stock,https://www.beadndgames.co.nz/products/death-guard-plague-marine-champion-warhammer-40-000,
2026-04-03 12:28:38,Bea DnD,Genestealer Cults: Biophagus,,not_carried,,
2026-04-03 12:28:38,Bea DnD,Orruk Warclans: Ardboy Big Boss,,not_carried,,
